date,avg_temperature,precipitation,rain_sum,snowfall_sum,shortwave_radiation_sum
2020-02-01,3.8,1.0,1.0,0.0,3.81
2020-02-02,6.9,1.6,1.6,0.0,5.91
2020-02-03,3.3,3.7,3.7,0.0,1.65
2020-02-04,2.2,0.8,0.8,0.0,8.0
2020-02-05,0.7,17.9,8.6,6.51,1.66
2020-02-06,-2.0,0.6,0.0,0.42,6.41
2020-02-07,-4.6,1.1,0.0,0.77,8.81
2020-02-08,-6.7,0.0,0.0,0.0,9.13
2020-02-09,-4.8,0.0,0.0,0.0,7.58
2020-02-10,-1.6,1.9,1.9,0.0,7.08
2020-02-11,2.6,11.2,6.2,3.5,6.81
2020-02-12,1.5,4.5,1.8,1.89,5.89
2020-02-13,0.5,0.5,0.2,0.21,6.38
2020-02-14,2.0,0.0,0.0,0.0,7.81
2020-02-15,1.8,0.0,0.0,0.0,7.86
2020-02-16,1.9,0.0,0.0,0.0,8.86
2020-02-17,2.6,0.0,0.0,0.0,10.02
2020-02-18,4.6,0.5,0.5,0.0,7.35
2020-02-19,4.1,0.0,0.0,0.0,9.69
2020-02-20,1.4,0.0,0.0,0.0,9.52
2020-02-21,0.0,0.0,0.0,0.0,6.75
2020-02-22,0.6,0.0,0.0,0.0,8.09
2020-02-23,3.5,1.2,1.2,0.0,5.71
2020-02-24,3.1,5.6,5.5,0.07,4.62
2020-02-25,2.6,0.0,0.0,0.0,8.45
2020-02-26,5.8,0.0,0.0,0.0,8.32
2020-02-27,5.3,3.2,3.2,0.0,8.87
2020-02-28,2.5,3.2,2.9,0.21,10.98
2020-02-29,0.9,0.1,0.1,0.0,11.6
2020-03-01,3.5,0.0,0.0,0.0,12.04
2020-03-02,5.2,3.9,3.9,0.0,4.49
2020-03-03,8.2,0.0,0.0,0.0,10.11
2020-03-04,10.6,0.0,0.0,0.0,13.09
2020-03-05,10.3,0.0,0.0,0.0,10.13
2020-03-06,10.0,0.0,0.0,0.0,12.31
2020-03-07,8.5,0.4,0.4,0.0,6.22
2020-03-08,8.5,1.6,1.6,0.0,6.62
2020-03-09,10.8,0.6,0.6,0.0,11.21
2020-03-10,10.1,0.4,0.4,0.0,13.06
2020-03-11,9.6,2.0,2.0,0.0,11.34
2020-03-12,10.1,0.0,0.0,0.0,15.52
2020-03-13,10.8,8.3,8.3,0.0,10.32
2020-03-14,5.6,1.5,1.5,0.0,14.96
2020-03-15,-0.4,0.1,0.0,0.07,15.08
2020-03-16,-0.2,0.0,0.0,0.0,17.28
2020-03-17,2.2,0.0,0.0,0.0,10.86
2020-03-18,2.2,0.0,0.0,0.0,17.49
2020-03-19,6.6,0.0,0.0,0.0,16.64
2020-03-20,7.8,0.0,0.0,0.0,16.75
2020-03-21,5.3,4.6,4.6,0.0,5.54
